#{"source_date": "Unknown", "extract_date": "2017-03-28", "update_frequency": "Every month", "source_key": "HDX", "source_url": "http://data.humdata.org/dataset/004daf8f-2f9e-417a-92ee-9e2187d2da7e/resource/2ad318c8-e4a0-4626-a7be-8c4a10c5daad/download/LCB_SnapShot_DataSets_24Jan17.xlsx---Incidents_By_Loc_Map.csv"}
Month #,Month,date,ADMIN1,ADMIN2,LOCATION,LATITUDE  ,LONGITUDE  
#date+month,#date+month,#date,#adm1,#adm2,#loc,#geo+lat,#geo+lng
11,Nov,2016-11-01,,Damboa,Damboa,11.156036,12.757583
11,Nov,2016-11-01,,,Wasada,10.833333,13.15
11,Nov,2016-11-01,,Maiduguri,Maiduguri,23.692882,26.320548
11,Nov,2016-11-01,,Monguno,Monguno,25.35726,27.215834
11,Nov,2016-11-01,Diffa,Diffa,Bosso,13.698692,13.309508
11,Nov,2016-11-01,Extreme-Nord,Logone-et-Chari,Ndiguina,22.9639,29.35404
11,Nov,2016-11-01,,,Ngouma,37.87212,42.93135
11,Nov,2016-11-01,,Mayo-Sava,Kolofata,11.162098,14.011511
11,Nov,2016-11-01,,,Limani,11.233056,14.171111
11,Nov,2016-11-01,,,Mora,11.048476,14.147621
11,Nov,2016-11-01,,,Sandawadjiri,11.11436,13.93389
12,Dec,2016-12-01,Adamawa,Madagali,Madagali,10.886389,13.63
12,Dec,2016-12-01,Borno,Maiduguri,Maiduguri,47.385764,52.641096
12,Dec,2016-12-01,Diffa,Diffa,Diffa,26.64,25.22
12,Dec,2016-12-01,Extreme-Nord,Mayo-Sava,Kolofata,11.162098,14.011511
12,Dec,2016-12-01,,,Mora,11.04848,14.14762
